date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:12	53254/53254	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2010:00:11%20GMT	https://andyhardy.co/	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/index.html	(from )
12:00:12	59/59	---M--	200	added ('OK')	text/plain	etag:%223b-5bb6fccd60780%22	https://andyhardy.co/robots.txt		(from )
12:00:12	66083/66083	---M--	200	added ('OK')	image/jpeg	etag:%2210223-5bb726f917e22%22	https://andyhardy.co/media/site/fd92a6660a-1613463754/andy-meta-image-860x540-q72.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/site/fd92a6660a-1613463754/andy-meta-image-860x540-q72.jpg	(from https://andyhardy.co/)
12:00:12	1825/1825	---M--	200	added ('OK')	text/css	etag:%22721-5bb6fcca2f10a%22	https://andyhardy.co/assets/css/normalize.css	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/assets/css/normalize.css	(from https://andyhardy.co/)
12:00:13	6375/6375	---M--	200	added ('OK')	text/css	etag:%2218e7-5bb6fcca25c99%22	https://andyhardy.co/assets/css/navigation.css	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/assets/css/navigation.css	(from https://andyhardy.co/)
12:00:13	4137/4137	---M--	200	added ('OK')	text/css	etag:%221029-5bb6fcca4121c%22	https://andyhardy.co/assets/css/photoswipe.css	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/assets/css/photoswipe.css	(from https://andyhardy.co/)
12:00:14	8889/8889	---M--	200	added ('OK')	text/css	etag:%2222b9-5bb6fcca38193%22	https://andyhardy.co/assets/css/photoswipe-skin.css	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/assets/css/photoswipe-skin.css	(from https://andyhardy.co/)
12:00:14	2619/2619	---M--	200	added ('OK')	text/css	etag:%22a3b-5bb6fcca00ad6%22	https://andyhardy.co/assets/css/BeerSlider.css	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/assets/css/BeerSlider.css	(from https://andyhardy.co/)
12:00:14	32282/32282	---M--	200	added ('OK')	text/css	etag:%227e1a-5bbb407764cbd%22	https://andyhardy.co/assets/css/style.css	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/assets/css/style.css	(from https://andyhardy.co/)
12:00:15	27527/27527	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2010:00:15%20GMT	https://andyhardy.co/privacy-policy	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/privacy-policy.html	(from https://andyhardy.co/)
12:00:15	13620/13620	---M--	200	added ('OK')	image/png	etag:%223534-5bb6fccc486eb%22	https://andyhardy.co/assets/img/logo-andy.png	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/assets/img/logo-andy.png	(from https://andyhardy.co/)
12:00:16	206167/206167	---M--	200	added ('OK')	image/jpeg	etag:%2232557-5bb6fd2eb1f2c%22	https://andyhardy.co/media/site/6ea6b50483-1613463754/andrew-footer-1600x1080.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/site/6ea6b50483-1613463754/andrew-footer-1600x1080.jpg	(from https://andyhardy.co/)
12:00:16	105789/105789	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2010:00:16%20GMT	https://andyhardy.co/portfolio	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/portfolio.html	(from https://andyhardy.co/)
12:00:17	19912/19912	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2010:00:17%20GMT	https://andyhardy.co/motion	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/motion.html	(from https://andyhardy.co/)
12:00:17	17427/17427	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2010:00:17%20GMT	https://andyhardy.co/film-luts	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/film-luts.html	(from https://andyhardy.co/)
12:00:18	247646/247646	---M--	200	added ('OK')	image/jpeg	etag:%223c75e-5bb6fccbd0116%22	https://andyhardy.co/assets/img/landscape_background_small.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/assets/img/landscape_background_small.jpg	(from https://andyhardy.co/)
12:00:18	17965/17965	---M--	200	added ('OK')	image/png	etag:%22462d-5bb6fccbba954%22	https://andyhardy.co/assets/img/landscape_andy.png	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/assets/img/landscape_andy.png	(from https://andyhardy.co/)
12:00:18	404786/404786	---M--	200	added ('OK')	image/png	etag:%2262d32-5bb6fccc0fca5%22	https://andyhardy.co/assets/img/landscape_mountain_small.png	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/assets/img/landscape_mountain_small.png	(from https://andyhardy.co/)
12:00:19	58647/58647	---M--	200	added ('OK')	image/jpeg	etag:%22e517-5bb6fd2e0c2c3%22	https://andyhardy.co/media/pages/home/e415742651-1613463733/andy-bg-560x800.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/home/e415742651-1613463733/andy-bg-560x800.jpg	(from https://andyhardy.co/)
12:00:19	50467/50467	---M--	200	added ('OK')	image/jpeg	etag:%22c523-5bb6fd2e0f58b%22	https://andyhardy.co/media/pages/home/6742511e44-1613463734/felan-bg-560x800.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/home/6742511e44-1613463734/felan-bg-560x800.jpg	(from https://andyhardy.co/)
12:00:19	43201/43201	---M--	200	added ('OK')	image/jpeg	etag:%22a8c1-5bb6fd2e25905%22	https://andyhardy.co/media/pages/home/fcdbb331ce-1613463734/education-bg-560x800.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/home/fcdbb331ce-1613463734/education-bg-560x800.jpg	(from https://andyhardy.co/)
12:00:20	88910/88910	---M--	200	added ('OK')	image/jpeg	etag:%2215b4e-5bb6fd2e0e5eb%22	https://andyhardy.co/media/pages/home/6871d294a8-1613463735/presets-bg-560x800.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/home/6871d294a8-1613463735/presets-bg-560x800.jpg	(from https://andyhardy.co/)
12:00:20	388954/388954	---M--	200	added ('OK')	image/jpeg	etag:%225ef5a-5bb6fd2edd299%22	https://andyhardy.co/media/pages/home/d9587b1b9c-1613463733/andy-about-bg-2160x1200.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/home/d9587b1b9c-1613463733/andy-about-bg-2160x1200.jpg	(from https://andyhardy.co/)
