date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:54	98/98	---M-Z	200	added ('OK')	text/plain	date:Mon,%2022%20Nov%202021%2017:39:55%20GMT	https://www.urbanfigphotography.com/robots.txt		(from )
18:39:55	74075/74075	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2017:39:55%20GMT	https://www.urbanfigphotography.com/	C:/My%20Web%20Sites/https___www.urbanfigphotography.comhttps___www.urbanfigphotography.com/www.urbanfigphotography.com/index.html	(from )
18:39:55	92853/92853	---M-Z	200	added ('OK')	text/css	etag:%220e8eb5cda33bd31da77eb56e5287b725%22	https://uploads-ssl.webflow.com/60957e41b0916c05d9fd11ea/css/urbanfig.webflow.c08af104e.min.css	C:/My%20Web%20Sites/https___www.urbanfigphotography.comhttps___www.urbanfigphotography.com/uploads-ssl.webflow.com/60957e41b0916c05d9fd11ea/css/urbanfig.webflow.c08af104e.min.css	(from https://www.urbanfigphotography.com/)
18:39:55	671/671	---M--	200	added ('OK')	image/png	etag:%222db6342371a23ebaedb6c2604b778f08%22	https://uploads-ssl.webflow.com/60957e41b0916c05d9fd11ea/60b03b14b11a5464f8a4f708_Favicon.png	C:/My%20Web%20Sites/https___www.urbanfigphotography.comhttps___www.urbanfigphotography.com/uploads-ssl.webflow.com/60957e41b0916c05d9fd11ea/60b03b14b11a5464f8a4f708_Favicon.png	(from https://www.urbanfigphotography.com/)
18:39:55	61660/61660	---M--	200	added ('OK')	image/png	etag:%22a7813a3c5fba0427c58661d2746ed812%22	https://uploads-ssl.webflow.com/60957e41b0916c05d9fd11ea/60b03b904a8d4f35b0ba8a21_Frame%203.png	C:/My%20Web%20Sites/https___www.urbanfigphotography.comhttps___www.urbanfigphotography.com/uploads-ssl.webflow.com/60957e41b0916c05d9fd11ea/60b03b904a8d4f35b0ba8a21_Frame%203.png	(from https://www.urbanfigphotography.com/)
18:39:56	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2022%20Nov%202021%2017:39:56%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/https___www.urbanfigphotography.comhttps___www.urbanfigphotography.com/www.googletagmanager.com/gtm.35445.delayed	(from https://www.urbanfigphotography.com/)
18:39:56	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Mon,%2022%20Nov%202021%2017:39:56%20GMT	https://www.urbanfigphotography.com/contact-us	C:/My%20Web%20Sites/https___www.urbanfigphotography.comhttps___www.urbanfigphotography.com/www.urbanfigphotography.com/contact-us	(from https://www.urbanfigphotography.com/)
18:39:56	78131/78131	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2017:39:57%20GMT	https://www.urbanfigphotography.com/weddings	C:/My%20Web%20Sites/https___www.urbanfigphotography.comhttps___www.urbanfigphotography.com/www.urbanfigphotography.com/weddings.html	(from https://www.urbanfigphotography.com/)
18:39:56	749487/749487	---M--	200	added ('OK')	image/png	etag:%2296f628c47816d8ae273bd3b9498ecfb5%22	https://uploads-ssl.webflow.com/60957e41b0916c05d9fd11ea/60b01681024e291b64247003_Urban%20Fig%20Photography_Jete%20Devisser_Chilliwack_MenuNavWeddings.png	C:/My%20Web%20Sites/https___www.urbanfigphotography.comhttps___www.urbanfigphotography.com/uploads-ssl.webflow.com/60957e41b0916c05d9fd11ea/60b01681024e291b64247003_Urban%20Fig%20Photography_Jete%20Devisser_Chilliwack_MenuNavWeddings.png	(from https://www.urbanfigphotography.com/)
18:39:57	66582/66582	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2017:39:57%20GMT	https://www.urbanfigphotography.com/families	C:/My%20Web%20Sites/https___www.urbanfigphotography.comhttps___www.urbanfigphotography.com/www.urbanfigphotography.com/families.html	(from https://www.urbanfigphotography.com/)
